Time,compartment,ADP,NAD,ATP,NADH,pyruvate,lactate,CoA,halfglucose,AcCoA,AcP,Ac,AcO,EtOH,AcLac,AcetoinIn,AcetoinOut,Butanediol,O2,PO4,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14
0.0,1.0,4.9,6.33,0.1,3.67,1.0,0.1,1.0,30.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.01,0.2,10.0,2317.159322414287,1895.6469198924008,1.3528328496322817,0.0,-1.3861670607485486,0.0,-0.18021010063616708,0.050186500365198096,0.0,0.0,-0.01758925279340804,3.5472272850531133E-4,54.534281317607466,0.0
0.001,1.0,3.329463066497991,6.624558786852222,1.6705369335020135,3.3754412131477665,0.7568973114316557,0.1,0.9983581289023381,30.0,0.0016418710976623889,0.0020189659351624203,1.0,1.36541898342957E-4,1.0,4.3381425623329506E-5,9.895680506502464E-6,0.0,0.01,0.2,10.0,1146.3770058786006,1574.9106255505892,1.4365861647475404,-0.6017133834430277,-2.6562317621823346,0.09323604196746073,-0.02681112917279165,0.025722356590990154,4.598410712467665E-4,3.958264368657075E-4,-0.0057430155270939585,1.3714375415628226,53.999032797774696,1.301442768699885E-8
0.002,1.0,2.406685088262951,7.0196955886203245,2.5933149117370533,2.9803044113796604,0.41266078103799797,0.1,0.9962059826663839,30.0,0.003794017333616788,0.004116050243494383,1.0,2.5922793880686987E-4,1.0,5.644450038258979E-5,1.4305587611009253E-5,0.0,0.01,0.2,10.0,755.9900696949205,998.1632184052128,1.2992245065158279,-1.2119615639769106,-3.3553768759418023,0.20073146714137105,0.07408382358664344,0.00599907302434442,5.983082413429664E-4,5.722218672463592E-4,-0.003373463209119926,9.76210548256704,53.137507574165205,1.6933350114776937E-8
0.003,1.0,1.7957377985551481,7.238506184505155,3.2042622014448603,2.761493815494829,0.24472925137742352,0.1,0.9937768668505327,30.0,0.006223133149468459,0.006290051354306153,1.0,3.895468387371612E-4,1.0,5.915455509182054E-5,1.7031884619057592E-5,0.0,0.01,0.2,10.0,533.0959170351487,642.4876657489871,1.0287621831066485,-1.834327941612635,-4.022818674417562,0.313030590301973,0.17913600175662808,0.0017121491509249796,6.270344679830126E-4,6.812730640894594E-4,-0.0022079509523613965,34.85561686233369,52.56979871364934,1.774636652754616E-8
0.004,1.0,1.3970255566882799,7.368150731584705,3.602974443311726,2.6318492684152814,0.16622395249253866,0.1,0.991091212728801,30.0,0.00890878727120069,0.00844704717693494,1.0,5.27668892168745E-4,1.0,5.961260322805199E-5,1.8788392578844653E-5,0.0,0.01,0.2,10.0,400.4766340631746,453.9186823656517,0.821189413102453,-2.439587830537458,-4.535673528300771,0.4339208625469925,0.291034051700968,6.767003747842558E-4,6.318897086363835E-4,7.515328791348324E-4,-0.001551818538122035,84.93796504462325,52.195649944028155,1.7883780968415593E-8
0.005,1.0,1.1591384873467243,7.458852152130595,3.8408615126532792,2.5411478478693943,0.12691611252403567,0.1,0.9881229683163251,30.0,0.011877031683676072,0.010417141782979686,1.0,6.762451726360786E-4,1.0,5.9468350346162265E-5,2.0007292099859583E-5,0.0,0.01,0.2,10.0,326.69284174356636,353.1717763228356,0.6935513929093798,-2.9752171849759232,-4.787946752828379,0.5648873899698641,0.41034553343091645,3.541649996675056E-4,6.30360638900494E-4,8.002884816733E-4,-0.001215199705747247,149.33324963576837,51.91473642771008,1.7840505103848676E-8
0.006,1.0,1.035088636204319,7.52951766762615,3.964911363795681,2.4704823323738396,0.10783698327556732,0.1,0.9849049903609658,30.0,0.015095009639035172,0.01202634770709043,1.0,8.368044597801129E-4,1.0,5.912712307823069E-5,2.0936709642183362E-5,0.0,0.01,0.2,10.0,290.507416009964,302.3843129563808,0.6308016714612502,-3.3902419955293217,-4.7843489962221275,0.7035656900168907,0.5372111569496185,2.3956991711687474E-4,6.267436676547459E-4,8.374648789355333E-4,-0.001045356872986811,201.87627881232532,51.68386721019128,1.7738136923469207E-8
0.007,1.0,0.9770729634712172,7.589556527497179,4.022927036528785,2.410443472502809,0.09951654059205257,0.1,0.9815205058069687,30.0,0.01847949419303245,0.013206204534176055,1.0,0.001008110564179554,1.0,5.871757667848394E-5,2.170964295168347E-5,0.0,0.01,0.2,10.0,275.04950542132616,279.47177017251363,0.6121230735540768,-3.6678657083531414,-4.643815827177558,0.8449564319132812,0.6692716984155979,1.975836901128307E-4,6.224025230737769E-4,8.683819476149329E-4,-9.701863719946925E-4,232.53493814621976,51.478816245516235,1.761527300354518E-8
0.008,1.0,0.9509873355813642,7.644439618748647,4.049012664418635,2.3555603812513444,0.09643608563937202,0.1,0.9780649912524984,30.0,0.02193500874750276,0.014009983921495751,1.0,0.0011868891746111526,1.0,5.828646210703445E-5,2.2405850027368558E-5,0.0,0.01,0.2,10.0,269.42170044720956,270.3912698059051,0.6183949998619708,-3.8282724212482564,-4.47846340214127,0.9836262269983584,0.8024153775240398,1.8322376367634532E-4,6.178327587753156E-4,8.962299849358158E-4,-9.54633674006585E-4,247.75948649906468,51.28375084857107,1.7485938632110333E-8
0.009,1.0,0.9387795527808602,7.697026705449103,4.0612204472191396,2.302973294550889,0.09569822664876779,0.1,0.9746153638945309,30.0,0.025384636105470423,0.014543078347763479,1.0,0.001369286831271178,1.0,5.7851908902164454E-5,2.3074512166420582E-5,0.0,0.01,0.2,10.0,268.0494290804775,267.5063199466401,0.6374596034845342,-3.906225885390624,-4.338859598942478,1.1154796669234905,0.9324536597252193,1.7987723257598158E-4,6.132265452312864E-4,9.229762272115864E-4,-9.754045251788528E-4,255.20703674390953,51.08960289929204,1.7355572670649333E-8
