Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,boundaryOf,discussion,displayName,hasAmountPlayer,hasBoundary,hasConstitutivePlayer,hasConstraint,hasConstraint,hasDependencyPlayerProperty,hasDimension,hasDivisorUnit,hasDynamicalParticipant,hasDynamicalPlayer,hasFlowPlayer,hasFlowSink,hasFlowSinkPlayer,hasFlowSource,hasFlowSourcePlayer,hasForcePlayer,hasForceSink,hasForceSource,hasInfoParticipant - pending,hasInfoSink,hasInfoSource,hasMathForm,hasMediatorParticipant,hasMomentumPlayer,hasMultiplierUnit,hasNegPropertyPlayer,hasPart,hasParticipant,hasPartOfProcess,hasPhysicalDomain,hasPosPropertyPlayer,hasProcessDependency,hasProperty,hasPropertyAttribute,hasPropertyAttribute deferred,hasPropertyPlayer,hasPropertyValue,hasReciprocal-SI-unit,hasReciprocalProperty,hasSI-unit,hasSIunit,hasSpatialCoordinate,hasSpatialScope,hasStructuralPartOfProcess,hasSubProcess,hasTemporalPartOfProcess,hasThermodynamicEntity,hasThermodynamicPlayer,hasThermoParticipant,hasThermoSink,hasThermoSource,hasTransactorParticipant,http://bhi.washington.edu/OPB#classTerm,http://bhi.washington.edu/OPB#discussion,http://data.bioontology.org/metadata/prefixIRI,http://purl.org/dc/elements/1.1/creator,http://purl.org/dc/elements/1.1/rights,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2002/07/owl#incompatibleWith,http://www.w3.org/2002/07/owl#topDataProperty,http://www.w3.org/2002/07/owl#topObjectProperty,isPhysicalDomainFor,isThermodynamicEntityOf,IUPACclass,maps_to_BFOclass,occurenceOf,occursDuring,partOf,PATO_id,propertyOf,subProcessOf,successorOf,successorTo,synonym,synonym,wikipedia,x_deferred object prop
http://bhi.washington.edu/OPB#OPB_01700,Correlation coefficient,,,false,,,http://bhi.washington.edu/OPB#OPB_01699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPB:OPB_01700,,,,Correlation coefficient,,,,,,,,,,,,,,,,,,,
http://bhi.washington.edu/OPB#OPB_00414,Solid inertance,,"...that is the proportionality between momentum and velocity for a material entity; i.e., m = p/v given p = mv = ∫f dt;  a definition of mass",false,,,http://bhi.washington.edu/OPB#OPB_00132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPB:OPB_00414,,,"...that is the proportionality between momentum and velocity for a material entity; i.e., m = p/v given p = mv = ∫f dt;  a definition of mass",Solid inertance,,,,,,,,,,,,,,,,solid inductance,,,
http://bhi.washington.edu/OPB#OPB_01065,Plane angle of spatial region,,,false,,,http://bhi.washington.edu/OPB#OPB_01072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPB:OPB_01065,,,,Plane angle of spatial region,,,,,,,,,,,,,,,,,,,
http://bhi.washington.edu/OPB#OPB_01652,Temperature-driven heat flow,,,false,,,http://bhi.washington.edu/OPB#OPB_01612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPB:OPB_01652,,,,Temperature-driven heat flow,,,,,,,,,,,,,,,,,,,
http://bhi.washington.edu/OPB#OPB_01479,Mechanical inductive process,,An inductive momentum process in the solid mechanical domain,false,,,http://bhi.washington.edu/OPB#OPB_00479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPB:OPB_01479,,,An inductive momentum process in the solid mechanical domain,Mechanical inductive process,,,,,,,,,,,,,,,,,,,
http://bhi.washington.edu/OPB#OPB_01295,Fluid gravitational potential energy,,,false,,,http://bhi.washington.edu/OPB#OPB_00024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPB:OPB_01295,,,,Fluid gravitational potential energy,,,,,,,,,,,,,,,,,,,
http://bhi.washington.edu/OPB#OPB_01664,Portion of positive charge,,,false,,,http://bhi.washington.edu/OPB#OPB_00443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPB:OPB_01664,,,,Portion of positive charge,,,,,,,,,,,,,,,,,,,
http://bhi.washington.edu/OPB#OPB_00378,Chemical potential,,A flow-driving potential that drives the chemical transformation of one kind of chemical species into another. ,false,,,http://bhi.washington.edu/OPB#OPB_01364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""...gradients of Gibbs free energy represent the thermodynamic driving force for constant temperature and pressure (isothermal and isobaric) systems...typical of laoratory conditions and a reasonable approximation for most biological systems."" 

Isobaric, isothermal systems are also refered to ""NPT"" systems where N is the number of particles (participants), P, the pressure, and T, the temperature are held constant.

Beard, D.A. and H. Qian, Chemical Biophysics: Quantitative Analysis of Cellular Systems. Cambridge Texts in Biomedical Engineering. 2008: Cambridge University Press. p. 9
",OPB:OPB_00378,,,A flow-driving potential that drives the chemical transformation of one kind of chemical species into another. ,Chemical potential,,,,,,,,,,,,,,,,Gibbs free energy|G|partial molar free energy,,,
http://bhi.washington.edu/OPB#OPB_00402,Temporal location,,A temporal property that is the amount of time between the origin of a temporal coordinate and a temporal instant,false,,,http://bhi.washington.edu/OPB#OPB_00400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPB:OPB_00402,,,A temporal property that is the amount of time between the origin of a temporal coordinate and a temporal instant,Temporal location,,,,,,,,,,,,,,,,,,,
http://bhi.washington.edu/OPB#OPB_01053,Mechanical stress,,A mechanical force property that is the amount of force per unit of spatial extent.,false,,,http://bhi.washington.edu/OPB#OPB_01198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPB:OPB_01053,,,A mechanical force property that is the amount of force per unit of spatial extent.,Mechanical stress,,,,,,,,,,,,,,,,,,,
http://bhi.washington.edu/OPB#OPB_01516,Extreme value event,,A property value event that occurs a maximum,false,,,http://bhi.washington.edu/OPB#OPB_01105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPB:OPB_01516,,,A property value event that occurs a maximum,Extreme value event,,,,,,,,,,,,,,,,,,,
http://bhi.washington.edu/OPB#OPB_00231,Torsional capacitance,,,false,,,http://bhi.washington.edu/OPB#OPB_00172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPB:OPB_00231,,,,Torsional capacitance,,,,,,,,,,,,,,,,,,,
http://bhi.washington.edu/OPB#OPB_01663,Energy domain,,"Thermodynamical domain in which physics continuants have, exchange adn transform thermodynamic energy.",false,,,http://bhi.washington.edu/OPB#OPB_00278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPB:OPB_01663,,,"Thermodynamical domain in which physics continuants have, exchange adn transform thermodynamic energy.",Energy domain,,,,,,,,,,,,,,,,,,,
http://bhi.washington.edu/OPB#OPB_01248,Physics logical model,,A physics model expressed in terms of logical symbols and operators.,false,,,http://bhi.washington.edu/OPB#OPB_01028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPB:OPB_01248,,,A physics model expressed in terms of logical symbols and operators.,Physics logical model,,,,,,,,,,,,,,,,,,,
