Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,database_cross_reference,definition,has_obo_format_version,has_obo_namespace,has_related_synonym,http://data.bioontology.org/metadata/treeView,http://www.geneontology.org/formats/oboInOwl#auto-generated-by,http://www.geneontology.org/formats/oboInOwl#date,http://www.geneontology.org/formats/oboInOwl#default-namespace,http://www.geneontology.org/formats/oboInOwl#id,http://www.geneontology.org/formats/oboInOwl#saved-by,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2002/07/owl#deprecated,http://www.w3.org/2004/02/skos/core#notation,is_a
http://purl.obolibrary.org/obo/SBO_0000467,area,,"The area of an object is a quantity expressing its two-dimensional size, usually part or all of its surface. ",false,,,http://purl.obolibrary.org/obo/SBO_0000465,,"The area of an object is a quantity expressing its two-dimensional size, usually part or all of its surface. ",,sbo,,http://purl.obolibrary.org/obo/SBO_0000465,,,,SBO:0000467,,,area,,SBO:0000467,
http://purl.obolibrary.org/obo/SBO_0000379,enzymatic rate law for simple competitive inhibition of irreversible unireactant enzymes by two non-exclusive inhibitors,,"Inhibition of a unireactant enzyme by two inhibitors that can bind once to the free enzyme and preclude the binding of the substrate. Binding of one inhibitor may affect binding of the other, or not. The enzymes do not catalyse the reactions in both directions.<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <semantics definitionURL=""http://biomodels.net/SBO/#SBO:0000062"">
    <lambda>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000025"">kcat</ci></bvar>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000505"">Et</ci></bvar>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000515"">S</ci></bvar>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000521"">I1</ci></bvar>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000521"">I2</ci></bvar>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000383"">a</ci></bvar>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000027"">Ks</ci></bvar>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000261"">Ki1</ci></bvar>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000261"">Ki2</ci></bvar>
      <apply>
    <divide/>
    <apply>
      <times/>
      <ci>kcat</ci>
      <ci>Et</ci>
      <ci>S</ci>
    </apply>
    <apply>
      <plus/>
      <apply>
        <times/>
        <ci>Ks</ci>
        <apply>
          <plus/>
          <cn type=""integer"">1</cn>
          <apply>
        <divide/>
        <ci>I1</ci>
        <ci>Ki1</ci>
          </apply>
          <apply>
        <divide/>
        <ci>I2</ci>
        <ci>Ki2</ci>
          </apply>
          <apply>
        <divide/>
        <apply>
          <times/>
          <ci>I1</ci>
           <ci>I2</ci>
        </apply>
        <apply>
          <times/>
      <ci>a</ci>   
          <ci>Ki1</ci>
          <ci>Ki2</ci>
        </apply>
          </apply>
        </apply>
      </apply>
      <ci>S</ci>
    </apply>
      </apply>
    </lambda>
 </semantics>
 </math> |See Segel I., Enzyme Kinetics, Wiley-Interscience;1993, ISBN 0-471-30309-7, Chapter 8, System B3, pp481.",false,,,http://purl.obolibrary.org/obo/SBO_0000430,,"Inhibition of a unireactant enzyme by two inhibitors that can bind once to the free enzyme and preclude the binding of the substrate. Binding of one inhibitor may affect binding of the other, or not. The enzymes do not catalyse the reactions in both directions.<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <semantics definitionURL=""http://biomodels.net/SBO/#SBO:0000062"">
    <lambda>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000025"">kcat</ci></bvar>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000505"">Et</ci></bvar>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000515"">S</ci></bvar>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000521"">I1</ci></bvar>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000521"">I2</ci></bvar>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000383"">a</ci></bvar>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000027"">Ks</ci></bvar>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000261"">Ki1</ci></bvar>
      <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000261"">Ki2</ci></bvar>
      <apply>
    <divide/>
    <apply>
      <times/>
      <ci>kcat</ci>
      <ci>Et</ci>
      <ci>S</ci>
    </apply>
    <apply>
      <plus/>
      <apply>
        <times/>
        <ci>Ks</ci>
        <apply>
          <plus/>
          <cn type=""integer"">1</cn>
          <apply>
        <divide/>
        <ci>I1</ci>
        <ci>Ki1</ci>
          </apply>
          <apply>
        <divide/>
        <ci>I2</ci>
        <ci>Ki2</ci>
          </apply>
          <apply>
        <divide/>
        <apply>
          <times/>
          <ci>I1</ci>
           <ci>I2</ci>
        </apply>
        <apply>
          <times/>
      <ci>a</ci>   
          <ci>Ki1</ci>
          <ci>Ki2</ci>
        </apply>
          </apply>
        </apply>
      </apply>
      <ci>S</ci>
    </apply>
      </apply>
    </lambda>
 </semantics>
 </math> ",,sbo,,http://purl.obolibrary.org/obo/SBO_0000430,,,,SBO:0000379,,"See Segel I., Enzyme Kinetics, Wiley-Interscience;1993, ISBN 0-471-30309-7, Chapter 8, System B3, pp481.",enzymatic rate law for simple competitive inhibition of irreversible unireactant enzymes by two non-exclusive inhibitors,,SBO:0000379,
http://purl.obolibrary.org/obo/SBO_0000654,co-transport reaction,,A biochemical process involving the simultaneous transport of two substances across a membrane via a protein or protein complex.|Term created in response to [SF req #121],false,,,http://purl.obolibrary.org/obo/SBO_0000167,,A biochemical process involving the simultaneous transport of two substances across a membrane via a protein or protein complex.,,sbo,,http://purl.obolibrary.org/obo/SBO_0000167,,,,SBO:0000654,,Term created in response to [SF req #121],co-transport reaction,,SBO:0000654,
http://purl.obolibrary.org/obo/SBO_0000006,obsolete parameter,,"A numerical value that represents the amount of some entity, process or mathematical function of the system.",true,,,,,"A numerical value that represents the amount of some entity, process or mathematical function of the system.",,sbo,,,,,,SBO:0000006,,,obsolete parameter,true,SBO:0000006,
http://purl.obolibrary.org/obo/SBO_0000017,bimolecular rate constant,,Numerical parameter that quantifies the velocity of a chemical reaction involving two reactants.,false,,,http://purl.obolibrary.org/obo/SBO_0000009,,Numerical parameter that quantifies the velocity of a chemical reaction involving two reactants.,,sbo,,http://purl.obolibrary.org/obo/SBO_0000009,,,,SBO:0000017,,,bimolecular rate constant,,SBO:0000017,
http://purl.obolibrary.org/obo/SBO_0000064,mathematical expression,,Formal representation of a calculus linking parameters and variables of a model.,false,,,http://purl.obolibrary.org/obo/SBO_0000000,,Formal representation of a calculus linking parameters and variables of a model.,,sbo,,http://purl.obolibrary.org/obo/SBO_0000000,,,,SBO:0000064,,,mathematical expression,,SBO:0000064,
http://purl.obolibrary.org/obo/SBO_0000330,dephosphorylation,,Removal of a phosphate group (-H2PO4) from a chemical entity. ,false,,,http://purl.obolibrary.org/obo/SBO_0000211,,Removal of a phosphate group (-H2PO4) from a chemical entity. ,,sbo,,http://purl.obolibrary.org/obo/SBO_0000211,,,,SBO:0000330,,,dephosphorylation,,SBO:0000330,
http://purl.obolibrary.org/obo/SBO_0000341,association rate constant,,Rate with which components associate into a complex.|Created on February 26 2008 by Nicolas Le Novere on the suggestion of Samuel Kerrien.,false,,,http://purl.obolibrary.org/obo/SBO_0000154,,Rate with which components associate into a complex.,,sbo,,http://purl.obolibrary.org/obo/SBO_0000154,,,,SBO:0000341,,Created on February 26 2008 by Nicolas Le Novere on the suggestion of Samuel Kerrien.,association rate constant,,SBO:0000341,
http://purl.obolibrary.org/obo/SBO_0000389,switch value,,"A parameter value taken by a switch, which has a discrete set of values which can be alternated or switched between.|Created by NJ and LE for BioModels Database - 19/9/08",false,,,http://purl.obolibrary.org/obo/SBO_0000002,,"A parameter value taken by a switch, which has a discrete set of values which can be alternated or switched between.",,sbo,,http://purl.obolibrary.org/obo/SBO_0000002,,,,SBO:0000389,,Created by NJ and LE for BioModels Database - 19/9/08,switch value,,SBO:0000389,
http://purl.obolibrary.org/obo/SBO_0000098,"mass action rate law for second order forward, third order reverse, reversible reactions, one reactant, three products, continuous scheme",,"Reaction scheme where the products are created from the reactants and the change of a product quantity is proportional to the product of reactant activities. The reaction scheme does include a reverse process that creates the reactants from the products. The rate of the forward process is proportional to the square of one reactant quantity. The rate of the reverse process is proportional to the product of three product quantities. It is to be used in a reaction modelled using a continuous framework.<math xmlns=""http://www.w3.org/1998/Math/MathML"">
<semantics definitionURL=""http://biomodels.net/SBO/#SBO:0000062"">
   <lambda>
     <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000036"">kf</ci></bvar>
     <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000040"">kr</ci></bvar>
     <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000509"">R</ci></bvar>
     <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000512"">P1</ci></bvar>
     <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000512"">P2</ci></bvar>
     <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000512"">P3</ci></bvar>
     <apply>
         <minus/>
         <apply>
             <times/>
             <ci>kf</ci>
             <ci>R</ci>
             <ci>R</ci>
         </apply>
         <apply>
             <times/>
             <ci>kr</ci>
             <ci>P1</ci>
             <ci>P2</ci>
             <ci>P3</ci>
         </apply>
     </apply>
   </lambda>
</semantics>
</math>",false,,,http://purl.obolibrary.org/obo/SBO_0000095,,"Reaction scheme where the products are created from the reactants and the change of a product quantity is proportional to the product of reactant activities. The reaction scheme does include a reverse process that creates the reactants from the products. The rate of the forward process is proportional to the square of one reactant quantity. The rate of the reverse process is proportional to the product of three product quantities. It is to be used in a reaction modelled using a continuous framework.<math xmlns=""http://www.w3.org/1998/Math/MathML"">
<semantics definitionURL=""http://biomodels.net/SBO/#SBO:0000062"">
   <lambda>
     <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000036"">kf</ci></bvar>
     <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000040"">kr</ci></bvar>
     <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000509"">R</ci></bvar>
     <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000512"">P1</ci></bvar>
     <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000512"">P2</ci></bvar>
     <bvar><ci definitionURL=""http://biomodels.net/SBO/#SBO:0000512"">P3</ci></bvar>
     <apply>
         <minus/>
         <apply>
             <times/>
             <ci>kf</ci>
             <ci>R</ci>
             <ci>R</ci>
         </apply>
         <apply>
             <times/>
             <ci>kr</ci>
             <ci>P1</ci>
             <ci>P2</ci>
             <ci>P3</ci>
         </apply>
     </apply>
   </lambda>
</semantics>
</math>",,sbo,,http://purl.obolibrary.org/obo/SBO_0000095,,,,SBO:0000098,,,"mass action rate law for second order forward, third order reverse, reversible reactions, one reactant, three products, continuous scheme",,SBO:0000098,
