Time,compartment,E1,E2,KKK,P_KKK,KK,P_KK,PP_KK,K,P_K,PP_K,KPase,KKPase,E1_KKK,E2_P_KKK,P_KKK_KK,P_KKK_P_KK,PP_KK_K,PP_KK_P_K,KKPase_PP_KK,KKPase_P_KK,KPase_PP_K,KPase_P_K,K_PP_norm_max,r1a,r1b,r2a,r2b,r3a,r3b,r4a,r4b,r5a,r5b,r6a,r6b,r7a,r7b,r8a,r8b,r9a,r9b,r10a,r10b
0.0,1.0,3.0E-5,3.0E-4,0.003,0.0,1.2,0.0,0.0,1.2,0.0,0.0,0.12,3.0E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.900049,9.0E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,1.0,2.970340645239962E-5,2.999991462906296E-4,0.0029954044345200433,8.832808021897944E-7,1.1999720490020052,2.4513051210133404E-5,5.188225882263702E-11,1.1999999995008663,2.3597155264920927E-10,2.9842214930702343E-20,0.11999999991883559,2.999771245160466E-4,2.9659354760038573E-7,8.537093705325892E-10,3.4147721722739577E-6,6.52485214185818E-11,1.8199753504088505E-10,3.16007275281418E-20,4.5496118143464744E-14,2.287543845731608E-8,9.33961286567739E-21,8.116443907336723E-11,0.900049,4.448468326781122E-5,4.448903214005786E-5,1.3692708101195237E-7,1.2805640557988837E-7,5.476964482067286E-4,5.122158258410936E-4,3.922038846533003E-6,3.431315768597412E-6,1.1864629324218874E-8,9.78727821278727E-9,8.739073093492232E-12,6.8244177215197115E-12,3.4959080305135474E-8,2.729963025613276E-8,1.6141920437747538E-8,1.2174665861005084E-8,7.502628040104524E-18,4.74010912922127E-18,2.1801238594105467E-18,1.4009419298516086E-18
0.2,1.0,2.970384039063068E-5,2.99998261203203E-4,0.002990978670927097,1.7682440508521973E-6,1.1998915598374036,1.0138276735729751E-4,8.896580700427572E-10,1.199999988686289,5.814555184127495E-9,2.553067600318069E-17,0.11999999783477577,2.9990201496642947E-4,2.96159609369325E-7,1.7387967970499388E-9,6.954618178129606E-6,5.684377543777033E-10,3.3339313367087286E-9,1.621243888403438E-17,8.332144030950063E-13,9.798420035622825E-8,9.280380670339277E-18,2.1652242531648487E-9,0.900049,4.441961164760043E-5,4.442394140539875E-5,2.6965062108107647E-7,2.608195195574908E-7,0.001078508385630811,0.001043192726719441,1.5707266159892036E-5,1.4697630053434238E-5,9.400381208181817E-8,8.52656631566555E-8,1.4182808737271673E-10,1.2498216046425095E-10,5.674999734796651E-7,5.000897005063093E-7,3.7296297153075635E-7,3.247836379747273E-7,2.7411001106628186E-15,2.431865832605157E-15,1.6716239645511526E-15,1.3920571005508917E-15
0.3,1.0,2.9704272406522763E-5,2.999973800641981E-4,0.002986572646737099,2.6492646251896076E-6,1.1997596273112776,2.296466764958623E-4,4.525269074788856E-9,1.1999999360374167,3.375510642581413E-8,8.132625014941019E-16,0.11999998711635831,2.9977557798544646E-4,2.957275934772438E-7,2.6199358019906997E-9,1.0477780049843261E-5,1.9610585883758875E-9,1.732383392509218E-8,4.814386901373312E-16,4.32775906564801E-12,2.2441768679457764E-7,3.0067996542225426E-16,1.2883641420089465E-8,0.900049,4.4354828438961903E-5,4.435913902158657E-5,4.0178207635503704E-7,3.9299037029860494E-7,0.0016068137318899461,0.0015716670074764892,3.517981215979731E-5,3.366265301918665E-5,3.142360280764665E-7,2.9415878825638314E-7,7.074012925872941E-10,6.491638598472015E-10,2.8317475115348996E-6,2.598575088763827E-6,2.118066123195579E-6,1.93254621301342E-6,8.053513570434357E-14,7.221580352059969E-14,5.248949488817142E-14,4.510199481333814E-14
0.4,1.0,2.9704702508076416E-5,2.999965028558811E-4,0.0029821862740861188,3.526360185631176E-6,1.1995772660765929,4.0827463144546235E-4,1.4308894159753304E-8,1.199999785909203,1.1448222960251188E-7,9.34328726568345E-15,0.11999995577032473,2.995989669074522E-4,2.952974919235911E-7,3.497144119039545E-9,1.3983891040912771E-5,4.680051294523776E-9,5.5378877708510436E-8,5.182114533414707E-15,1.3826443752527484E-11,4.010192661041579E-7,3.5069698353015653E-15,4.422967179433334E-8,0.900049,4.4290332306858345E-5,4.429462378853866E-5,5.333241056436368E-7,5.245716178559318E-7,0.002132557854543877,0.0020975836561369157,6.216576787995764E-5,6.0152889915623684E-5,7.377157109539541E-7,7.020076941785664E-7,2.212963344971044E-9,2.0739665628791225E-9,8.863838272024847E-6,8.306831656276565E-6,7.103411719639584E-6,6.634450769150001E-6,8.607969265427131E-13,7.773171800122061E-13,5.951485833362175E-13,5.260454752952348E-13
0.5,1.0,2.9705130703671164E-5,2.999956295605447E-4,0.0029778194655026087,4.399548370385247E-6,1.199345478486807,6.362424605888049E-4,3.48619220108508E-8,1.1999994595549592,2.9127834320153897E-7,6.131514400700382E-14,0.1199998866516533,2.9937337399861427E-4,2.948692963288428E-7,4.3704394554202845E-9,1.7472600649852005E-5,9.14574136934141E-9,1.358182575526729E-7,3.231605214684507E-14,3.388445412833227E-11,6.265921169316431E-7,2.3274832375139193E-14,1.1334832344776014E-7,0.900049,4.422612198536477E-5,4.423039444932642E-5,6.642793648427482E-7,6.555659183130427E-7,0.0026556883479277454,0.002620890097477801,9.648523456790443E-5,9.398881753974647E-5,1.4273182752521653E-6,1.3718612054012117E-6,5.354063097215119E-9,5.082668119249841E-9,2.1461548939167166E-5,2.0372738632900934E-5,1.7951119651102023E-5,1.7002248517164022E-5,5.3071150621151264E-12,4.84740782202676E-12,3.866585474599379E-12,3.491224856270879E-12
0.6,1.0,2.9705557001678638E-5,2.9999476016049037E-4,0.002973472133906406,5.26884681040898E-6,1.1990652537982682,9.125330161433219E-4,7.202597215604295E-8,1.1999988560843011,6.19746799336208E-7,2.81807482635845E-13,0.11999975768029698,2.9910002574369435E-4,2.9444299832136637E-7,5.2398395097570455E-9,2.0943573684313893E-5,1.5762761039813844E-8,2.818487720081932E-7,1.4286490196543158E-13,7.025298472348851E-11,8.999040033209884E-7,1.0785556284048741E-13,2.4231959517333473E-7,0.900049,4.41621962184548E-5,4.4166449748204957E-5,7.946505087474499E-7,7.859759264635569E-7,0.0031761550853001558,0.003141536052647084,1.3795304812229037E-4,1.3498560049814826E-4,2.4435825155275516E-6,2.3644141559720766E-6,1.1005022417563781E-8,1.0537947708523277E-8,4.415376839438229E-5,4.227731580122898E-5,3.802152646748439E-5,3.634793927600021E-5,2.3208130417971723E-11,2.1429735294814737E-11,1.7638495202722782E-11,1.6178334426073112E-11
0.7,1.0,2.970598141043585E-5,2.9999389463801186E-4,0.0029691441926081585,6.134273145426773E-6,1.198737567447917,0.001236137141846426,1.3281293798083895E-7,1.1999978533661058,1.1673099278001117E-6,1.013395480444385E-12,0.1199995420422737,2.9878017822286546E-4,2.9401858956415396E-7,6.105361988207719E-9,2.4396489917796823E-5,2.4920377065039384E-8,5.213647282749172E-7,4.985801826801564E-13,1.2981610838054953E-10,1.219691961026267E-6,3.9024293393668953E-13,4.579573360712996E-7,0.900049,4.409855375589843E-5,4.4102788434623096E-5,9.244401934387868E-7,9.158042982311579E-7,0.0036939101807404477,0.0036594734876695236,1.8637948139483868E-4,1.8295379415394006E-4,3.844746313537229E-6,3.7380565597559074E-6,2.0209457023135007E-8,1.947241625708243E-8,8.117053123501489E-5,7.820470924123758E-5,7.138305634671804E-5,6.869360041069495E-5,8.024683364331039E-11,7.478702740202346E-11,6.30705534705327E-11,5.853644009050343E-11
0.8,1.0,2.9706403938243344E-5,2.9999303297538054E-4,0.002964835555309006,6.9958450389066625E-6,1.1983633804048588,0.0016060545615942472,2.2535609575456368E-7,1.1999963089118941,2.0127180475065902E-6,3.0477332915665385E-12,0.11999920838649955,2.9841511262417144E-4,2.9359606175665886E-7,6.9670246194819216E-9,2.783104377691961E-5,3.6992788791084453E-8,8.867520457640626E-7,1.4644738544441453E-12,2.2052670634936954E-10,1.5846668491223297E-6,1.1791778637234088E-12,7.916123212762761E-7,0.900049,4.403519335297653E-5,4.4039409263498826E-5,1.0536510785250903E-6,1.0450536929222883E-6,0.004208907943074807,0.004174656566537942,2.415709255103621E-4,2.3770002736834945E-4,5.6867905182798606E-6,5.548918318662668E-6,3.417065874273625E-8,3.3079005952405434E-8,1.374136762316624E-4,1.330128068646094E-4,1.2278272421457044E-4,1.187418481914414E-4,2.339072028742118E-10,2.196710781666218E-10,1.888489028026539E-10,1.7687667955851133E-10
0.9,1.0,2.9706824593365073E-5,2.999921751548312E-4,0.002960546136100472,7.853580191981584E-6,1.1979436385938094,0.00202129469088677,3.5886231904643055E-7,1.1999940607391244,3.2455697383410913E-6,8.002146536495588E-12,0.11999872101730415,2.980061309098003E-4,2.931754066349286E-7,7.824845168800032E-9,3.12469440217733E-5,5.23394339686697E-8,1.4146966664660208E-6,3.772825848136558E-12,3.513418321406483E-10,1.993517748367694E-6,3.1075681062153264E-12,1.2789795882914658E-6,0.900049,4.397211377046216E-5,4.3976310995239286E-5,1.1822858292254472E-6,1.1737267753200047E-6,0.0047211048279046895,0.004687041603265996,3.033305480045331E-4,2.9902766225515414E-4,8.023484851205421E-6,7.850915095300455E-6,5.4241896407247866E-8,5.270127482109724E-8,2.1842815150888237E-4,2.1220449996990311E-4,1.9761727932967755E-4,1.9184693824371985E-4,5.987888057075171E-10,5.659238772204837E-10,4.941121338402217E-10,4.661352159322989E-10
