Time,compartment,EGF,R,Ra,R2,RP,PLCg,RPLCg,RPLCgP,PLCgP,Grb,RG,SOS,RGS,GS,Shc,RSh,RShP,ShP,RShG,ShG,RShGS,ShGS,PLCgl,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25
0.0,3.0E-12,680.0,100.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,85.0,0.0,34.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.120000000000001E-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.670000000000001E-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,3.0000338179573607E-12,661.8302412104077,81.83024121040785,17.940686085328025,0.11196718103868866,0.001780801343805862,104.99975121824029,2.443748848337859E-4,4.3869050419533215E-6,1.971115153529169E-8,84.97110926588898,1.0032286227621484E-5,33.97111950095466,6.551089688614286E-8,0.02888043243088843,149.99947024996237,4.7736287867195464E-4,5.194500339428859E-5,2.3827249836239144E-7,2.01198864393539E-7,1.5806291701769308E-9,1.081673618500692E-9,2.190739616889459E-11,2.585723569405379E-10,4.841902310119516E-10,9.622456362056872E-12,3.358481190757518E-13,4.8079923866897635E-14,3.3510440721469967E-14,7.324666187450647E-16,3.948213905928377E-18,5.913345459421919E-22,1.3603451471541855E-15,1.0212447867749826E-17,-6.884132431956241E-19,-8.658391501541182E-13,7.126294653004159E-14,8.583181715484211E-15,4.675050190920657E-17,3.574087472931146E-21,3.966406137377957E-17,1.8107897035426142E-19,2.0497907652677084E-19,3.894024745710903E-22,1.81742317689611E-19,4.828410598345351E-21,-4.26956786862255E-22,4.0366030942876545E-20,5.911018309375043E-20
0.2,3.0000493242835913E-12,647.382342753248,67.38234275324844,31.125807617361733,0.7138570511066944,0.01640123004434936,104.99503345622648,0.004782835282547615,1.8196939959896823E-4,1.6928811701690746E-6,84.94205944465111,1.9944125206799906E-4,33.94227529199343,2.7509240114941647E-6,0.05772176922599996,149.98948093832985,0.008500300763161594,0.00198291287221093,1.9254087908532686E-5,1.6142756345498902E-5,2.6333389799032045E-7,1.8029395205992247E-7,7.56265015049586E-9,4.621000628780269E-8,3.8699660483507785E-10,2.88503198796584E-11,2.1410791164187527E-12,4.4268799864336034E-13,3.070988843318225E-13,1.4321210437703E-14,1.6377195986306823E-16,5.0786434245318255E-20,1.250847212872249E-14,2.025895301460874E-16,-1.2532975050138883E-17,-8.646782817002488E-13,6.489026935238764E-13,1.5264848941991073E-13,1.7846207323548792E-15,2.888113022727015E-19,1.5110515006804928E-15,1.4528469049649447E-17,1.642608152379268E-17,6.490573343510139E-20,1.4640336747714997E-17,8.029816205082103E-19,-6.774814614639796E-20,3.067141626905537E-18,5.074484609941322E-18
0.3,3.0000742151829585E-12,635.7854249234222,55.78542492342259,40.14947238509694,1.903078136658061,0.05119685212520312,104.97507084920477,0.023498947956419845,0.0014091364256801782,2.020998513674771E-5,84.9122708092304,9.965212796481159E-4,33.9134521581087,2.1605430492503137E-5,0.08652290955481506,149.9474284414655,0.03802140417023177,0.014145343476401987,2.1665638319302315E-4,1.8027376691018867E-4,4.553831704126965E-6,3.1244511921165093E-6,2.024548427487907E-7,8.564278551401319E-7,3.1198113577592967E-10,4.778848054305244E-11,5.707698504410427E-12,1.3809010516416755E-12,9.532914034640503E-13,7.02854734054075E-14,1.2682041587349915E-15,6.062994315694063E-19,3.8975690558171125E-14,1.0099753247678585E-15,-5.78564694355973E-17,-8.635111170245651E-13,2.0043072790210728E-12,6.818391132384195E-13,1.2730779180024797E-14,3.2498436770148268E-18,1.075593699354738E-14,1.6224576073617924E-16,1.8321058331758778E-16,1.1247949663254783E-18,1.642049198288713E-16,1.386038249725119E-17,-1.1202452079668103E-18,3.264308253579871E-17,6.055287690328052E-17
0.4,3.0000901781354767E-12,626.4026402022768,46.402640202277105,45.84194852097249,3.547490871095479,0.10442481006788548,104.92775725211119,0.06656226727090693,0.0055652384538179105,1.0889421932988022E-4,84.88079417699949,0.0028738116598740556,33.88460978629828,8.666203558632481E-5,0.115279919751231,149.8481617984502,0.09821687824717831,0.05155312969365137,0.001102764055201979,9.102624671491107E-4,3.153517173635824E-5,2.1707383658770214E-5,1.9245312858960294E-6,6.347944605096756E-6,2.533490762817892E-10,6.198028006465612E-11,1.0639339868984401E-11,2.813593692094804E-12,1.9323336415796186E-12,1.988520160446481E-13,5.008509925789041E-15,3.2668230225149794E-18,7.934187554411896E-14,2.9057404344188573E-15,-1.5471454708018634E-16,-8.623270170727373E-13,4.048133394557812E-12,1.7586242451043528E-12,4.6397505803283294E-14,1.654140717723775E-17,3.910975657621811E-14,8.192273291875382E-16,9.2392304104293E-16,7.814513419611197E-18,8.329708476376249E-16,9.580061898784409E-17,-7.431613376889444E-18,1.576683573813575E-16,3.2611134297518195E-16
0.5,3.0000957416261062E-12,618.7596824935473,38.75968249354737,49.03843814723273,5.445053046988789,0.17016512357412555,104.843854796808,0.14043588665750398,0.015298977848416221,3.817019011073676E-4,84.84636163064333,0.00617961598159917,33.85567041384453,2.4224396495447774E-4,0.14398490212166015,149.6726313379642,0.18942009507183474,0.1310566248936296,0.003660334781964504,0.002996060625287309,1.3310659429538522E-4,9.200400378976048E-5,1.0436065110809952E-5,2.8636784803652707E-5,2.0701944063282081E-10,7.050953656350247E-11,1.6330054187259143E-11,4.578875039761959E-12,3.1270766193530695E-12,4.190128132952495E-13,1.376791092125353E-14,1.1451013324485475E-17,1.2901408210800044E-13,6.23284734502263E-15,-3.0896436009569607E-16,-8.6111120449473E-13,6.535690516838784E-12,3.385971518812172E-12,1.1794928067870128E-13,5.4904430645358225E-17,9.917828192076205E-14,2.696393407488398E-15,3.03710257504542E-15,3.312016274921114E-17,2.7551628191094252E-15,4.035734442723737E-16,-3.007225602151806E-17,4.976538180202763E-16,1.1425283926897742E-15
0.6,3.0001084237892125E-12,612.4979138199602,32.49791381996049,50.45471356776515,7.409646170017345,0.2419759821973406,104.71829097880627,0.2470159141194135,0.03357547907873791,0.0010229516120354564,84.8074516309659,0.011089066570488144,33.82650842819039,5.411393810915596E-4,0.17262418169343238,149.41039302095473,0.30540339079175494,0.2665973886347506,0.009312218229736232,0.0075553492182280895,4.123814357812331E-4,2.864261280053001E-4,3.9824607140554984E-5,9.46763833630048E-5,1.7006229132184216E-10,7.414744978515154E-11,2.2221679230586117E-11,6.5018855166476865E-12,4.412866487980593E-12,7.360114204964299E-13,3.021347563588499E-14,3.068823443527484E-17,1.8302893766893465E-13,1.1155727025624964E-14,-5.152046855715461E-16,-8.598451843928445E-13,9.211780079043615E-12,5.449273504297334E-12,2.399315657717636E-13,1.3967944778280827E-16,2.012184015087824E-13,6.79954487311728E-15,7.648743962831483E-15,1.0310646773103954E-16,6.9839950431238205E-15,1.2478018456064955E-15,-8.932600311234299E-17,1.2057081708020721E-15,3.0603339616036992E-15
0.7,3.0001265160712833E-12,607.3424187503214,27.342418750321748,50.64995322672176,9.302578172167086,0.3145697283897104,104.54979349128665,0.3844225490381618,0.06324767926685358,0.002283149529519143,84.76238334217612,0.017622288190898956,33.79694182452698,0.0010385567157061805,0.20117737292586424,149.05873028903352,0.43705579599102634,0.4666551810465197,0.019780293937557758,0.015901358844751058,0.0010348353152491217,7.227018274937946E-4,1.1954400401186753E-4,2.5313087854805403E-4,1.4033890506393102E-10,7.417175940442295E-11,2.789829742464957E-11,8.440281525183985E-12,5.689222496092888E-12,1.1437804952244574E-12,5.690998356507548E-14,6.849292208974584E-17,2.373297759218809E-13,1.7680443255258715E-14,-7.608681016389457E-16,-8.585075034389681E-13,1.1873427928522977E-11,7.7830063952501E-12,4.1997286278130095E-13,2.966871485956995E-16,3.51222840446874E-13,1.4310344035043027E-14,1.607612153688427E-14,2.6014558235185774E-16,1.4779173121631E-14,3.124731756499376E-15,-2.148356957101737E-16,2.441760786201473E-15,6.826666809488103E-15
0.8,3.000215108740979E-12,603.0797896058219,23.07978960582231,50.036767062194414,11.034994937298425,0.384241237464115,104.33990963276892,0.5482932732635921,0.10675211449339853,0.004464708830240523,84.70942530287618,0.025686385596448917,33.76672657479938,0.0017873846731589547,0.22961767401586416,148.6205965570056,0.5752205189087721,0.7337941878604898,0.03690548338683946,0.029384841716226216,0.002230044610536838,0.001566784716966313,3.015817946996586E-4,5.802706435872685E-4,1.162639738654386E-10,7.179984325989961E-11,3.309345757477135E-11,1.029539510442895E-11,6.887529314995877E-12,1.6288670026167667E-12,9.60460235896334E-14,1.3393528508671563E-16,2.890867317897931E-13,2.569862553273606E-14,-1.030221198716774E-15,-8.570747212201123E-13,1.4383266788068291E-11,1.022188638654301E-11,6.603764814312053E-13,5.535221684402636E-16,5.506181029834079E-13,2.6444043981831564E-14,2.966630989143784E-14,5.639590643912384E-16,2.7467167210855083E-14,6.7192138906418794E-15,-4.433969905742857E-16,4.34764190174435E-15,1.3341902132798716E-14
0.9,3.0001931892368173E-12,599.5425414563416,19.542541456341635,48.90875385081362,12.558727072932655,0.4487140831785227,104.09198485379991,0.732987976995928,0.16594070114581377,0.007902358726755458,84.64689884729374,0.03511801731196853,33.735555422385715,0.002835069866177664,0.25791247275407514,148.10253840823944,0.7122417066824157,1.065503946699641,0.062480345604557994,0.04925388783377663,0.004284669946221427,0.003029883775433951,6.671512186559613E-4,0.0011841093313431905,9.664568904811236E-11,6.799436797530449E-11,3.7662719796302615E-11,1.2007521366991391E-11,7.967564332785433E-12,2.1740728258159118E-12,1.4928280483751395E-13,2.3705202910095515E-16,3.365725978947218E-13,3.503146200465448E-14,-1.3071846551980424E-15,-8.555224380913933E-13,1.666100250730323E-11,1.2628560009877548E-11,9.588778553399915E-13,9.370329895241688E-16,7.96948276828958E-13,4.432330805268303E-14,4.965369934514737E-14,1.0905426198500794E-15,4.631350646513035E-14,1.2881021805382559E-14,-8.150656417074599E-16,7.029836413909978E-15,2.3600506340445488E-14
